main_line_code,main_line_tw,sub_line_tw,station_legend,station_no,station_id,station_name_tw,station_alias_tw,station_address_tw,station_map_url_tw,station_longitude,station_latitude
Y,環狀線,新北環狀線,Y,10,Y10,景平,,235077新北市中和區景平路121號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.5165532&Latitude=24.9919681,121.5165532,24.9919681
Y,環狀線,新北環狀線,YO,11,Y11,景安,,235086新北市中和區景平路486號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.505114&Latitude=24.99392,121.505114,24.99392
Y,環狀線,新北環狀線,Y,12,Y12,中和,,235021新北市中和區中山路二段271號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4960519&Latitude=25.0019806,121.4960519,25.0019806
Y,環狀線,新北環狀線,Y,13,Y13,橋和,,235029新北市中和區板南路430號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4904608&Latitude=25.0044131,121.4904608,25.0044131
Y,環狀線,新北環狀線,Y,14,Y14,中原,,235030新北市中和區板南路510號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4841593&Latitude=25.0084104,121.4841593,25.0084104
Y,環狀線,新北環狀線,Y,15,Y15,板新,,220076新北市板橋區板新路109號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4722124&Latitude=25.0144914,121.4722124,25.0144914
Y,環狀線,新北環狀線,Y,16,Y16,板橋,,220073新北市板橋區新站路66號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.464825&Latitude=25.015156,121.464825,25.015156
Y,環狀線,新北環狀線,Y,17,Y17,新埔民生,,220030新北市板橋區民生路3段70號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.466839&Latitude=25.026125,121.466839,25.026125
Y,環狀線,新北環狀線,OY,18,Y18,頭前庄,,242035新北市新莊區思源路20號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.461655&Latitude=25.039735,121.461655,25.039735
Y,環狀線,新北環狀線,Y,19,Y19,幸福,,242034新北市新莊區思源路292號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.460216&Latitude=25.050282,121.460216,25.050282
Y,環狀線,新北環狀線,Y,20,Y20,新北產業園區,,248016新北市新莊區五工路35號,https://web.metro.taipei/c/googlemap.asp?Longitude=121.4599257&Latitude=25.0615483,121.4599257,25.0615483

